,ME_EM0,ME_EM1,ME_EM2,ME_EM3,ME_EM4,ME_EM5,ME_EM6,ME_EM7,ME_EM8,ME_EM9,ME_EM10,ME_EM11,ME_EM12,ME_EM13,ME_EM14,ME_EM15,ME_EM16,ME_EM17,ME_EM18,ME_EM19
GSM7888991,4.651918358811984,-102.69263109932974,-2.066736285141504,-1.6520968485575407,1.0012977984227354,1.4114380004369287,-1.835153682351595,0.7559459120172055,3.1868983453627058,-3.432428890438594,-1.3412344455798233,-1.2026545436969691,9.622783966156124,2.94998511957998,2.613690883212344,-0.41278984332548374,-2.9001820596729027,-2.654949637607381,3.3915183796156194,-1.7985247408853107
GSM7888992,-0.3354718293089152,65.4422205556467,0.4440492887453117,3.877796016469362,-0.9438958180819009,-1.6449020705582342,4.253158450624538,-0.3157623048494302,-0.5080495565668337,2.208394606874023,2.4178153857727795,1.6530673934623197,0.6356151058697428,-1.8838706122113509,-3.880585786376729,0.26449728179723614,4.677122355499436,0.4985967194543839,-2.721310764488551,-0.5298567767785771
GSM7888993,1.2375940575805344,33.986461238131554,-4.470402569268249,3.274037303552018,4.380310264736889,5.179249420977432,3.9947821573772218,-5.8333564021903905,7.963274861048118,1.6875435573402133,2.044072688918053,2.1816186010256744,1.0028825085331214,-1.7371219228394392,-2.2170322612511013,-1.4716618787184756,4.073081603499195,-4.510108005518633,-1.3093269214510914,-0.650798428859354
GSM7888994,2.987494146568192,-61.54757530433564,4.966630630667415,-0.35040901585560347,-4.432347231579449,-5.753955590175663,-0.10038779001738758,7.21761092811472,-8.306893971270483,-1.216450649709904,-1.8764591639576775,0.2770747084181042,0.8519189071952044,0.6148219713981199,3.5937599204149286,1.1678156216900237,1.466800747513648,4.813484525468351,0.8747917407735406,-0.48055571806044656
GSM7888996,-2.68901416817833,52.495948661893614,3.333801445496541,0.0370598837213671,-2.5942757819204854,-2.8123385827099714,3.1488510518826716,1.3561708725888002,-5.726884048694709,5.769079342172318,-1.7345193353018222,2.01935782933961,10.138271800172221,-1.1636255517952074,2.2604988878901544,-1.2495355797539303,1.1100301714604013,3.4917046573094597,-2.7232007584115636,4.382516182886373
GSM7888997,-1.6850853066085212,49.39731742321386,-0.6823564245803063,-0.6651601738754402,-1.4037136827593315,0.13785291438294853,3.982366280734458,-2.3192399719519634,1.1853388789227655,3.6183814468280615,-2.0230630763211432,4.216207918223213,1.3230817895037326,-1.854317363071133,2.244335337972906,-1.0517437996737533,2.5509588060647292,-0.8502197302939454,-1.682799144348576,4.197901531945292
GSM7888998,1.8157952541621152,-42.07431550818389,5.233685408800187,-0.5032969681187061,-4.345160679010843,-5.8131320738047725,-1.825622459701881,7.62411366762372,-9.576203068395584,-0.9031630453791829,-1.2733741330622472,0.06983834750431388,10.83605035505807,0.9233623592741522,-0.3565245020598799,3.9298741939937263,-0.8712316050263201,5.483753298277651,0.3209076018196137,-2.989521396810487
GSM7888999,5.860225236668704,-119.85544442251964,-1.1975581583281552,-3.1807647238542907,0.11785061282109648,0.42033799171150266,-3.8873700609287973,1.2530447096117632,2.4879411649133343,-2.519687384601338,-3.609189162016278,0.20004105664172495,1.8918080010354388,2.808111338862973,3.584692143342695,1.348651824725211,-3.0266588432335486,-1.5078090262876596,3.0489132315512473,-1.610026541595396
GSM7889000,-0.28277844077446906,-68.40936991557555,7.186788727951426,-0.17495337275847517,-4.947824184314578,-6.813367788925941,1.624750747730608,10.610854589628437,-11.463845695812825,-0.529805797963242,-1.887677480435042,1.4214319628894208,0.3241193264351021,-0.32181226674914004,2.8565768885798724,2.9067542329186074,-0.2822026907210925,6.871184809331543,2.5190082146637027,0.9122633924442307
GSM7889001,-1.4377442374297624,-23.30816592621864,-4.359278379987252,-0.02661317650666259,5.051639377137705,6.415850933553083,1.0959409577800687,-5.9720825374496735,8.913262240765352,0.4380714970566388,-2.1964807000093267,1.1448584318716386,0.17874650598181627,0.3919226867284423,4.497781763982098,-1.1064560728017407,-0.4303012677514212,-3.9985170023840095,1.6241531036952805,1.0170432564070973
GSM7889002,-5.227682083768538,25.49712960394801,4.969379108249203,2.0139578222836794,-3.9878583777469117,-4.985405762474068,5.412732446084059,6.727784816304042,-8.058404460241032,4.094206306427113,1.093563784144047,5.097213810834162,0.39835037034596477,-0.27465077508032776,-0.34103536391648087,2.619801170112504,2.067034352946735,5.30389159697945,0.04337472779173561,-1.9074850875276992
GSM7889003,-5.402172136640356,27.323480317505943,-2.6870290580503275,0.6990381969946877,2.0096229006692976,4.2250797186796065,5.254500449114797,-5.228190170944685,5.8640312947609186,2.456921624598253,0.01814803847954863,3.25954734637303,0.3355975876419372,-1.2143142910905764,1.9764548954708852,-0.8735824509477327,1.4438879795220163,-2.564971138438798,-1.0322954383441765,1.6629186897506942
